name,title,links,dates,first_date
Afghanistan,Working around Restrictions: Afghan Women Build Businesses under the Taliban; Pakistan-Afghanistan: Tempering the Deportation Drive; After the Aid Axe: Charting a Path to Self-Reliance in Afghanistan ; A Precarious Lifeline? Women-led Business in Afghanistan ; Taliban Restrictions on Women’s Rights Deepen Afghanistan’s Crisis ; Mujeres en Afganistán: ¿Perderán lo ganado? ; Don’t sacrifice Afghan women for a deal with the Taliban ; Women and Conflict in Afghanistan ; Afghanistan: Women and Reconstruction ; What Will Peace Talks Bode for Afghan Women?,https://www.crisisgroup.org/cmt/asia-pacific/afghanistan/working-around-restrictions-afghan-women-build-businesses-under-taliban; https://www.crisisgroup.org/asia-pacific/pakistan-afghanistan/pakistan-afghanistan-tempering-deportation-drive ; https://www.crisisgroup.org/asia-pacific/afghanistan/350-after-aid-axe-charting-path-self-reliance-afghanistan ; https://www.crisisgroup.org/rpt/asia-pacific/afghanistan/352-precarious-lifeline-women-led-business-afghanistan ; https://www.crisisgroup.org/asia/south-asia/afghanistan/329-taliban-restrictions-womens-rights-deepen-afghanistans-crisis ; https://www.crisisgroup.org/es/asia/south-asia/afghanistan/mujeres-en-afganistan-perderan-lo-ganado ; https://www.crisisgroup.org/asia/south-asia/afghanistan/don-t-sacrifice-afghan-women-deal-taliban ; https://www.crisisgroup.org/asia/south-asia/afghanistan/women-and-conflict-afghanistan ; https://www.crisisgroup.org/asia/south-asia/afghanistan/afghanistan-women-and-reconstruction ; https://www.crisisgroup.org/asia/south-asia/afghanistan/what-will-peace-talks-bode-afghan-women ;,2026; 2025 ; 2025; 2025; 2023 ; 2013 ; 2013 ; 2013 ; 2003 ; 2020,2003
Angola,Failing to empower Women peacebuilders: a cautionary tale from Angola,https://www.crisisgroup.org/africa/southern-africa/angola/failing-empower-women-peacebuilders-cautionary-tale-angola,2007,2007
Bangladesh,Bangladesh’s New Government Gets Down to Business; Bangladesh / Myanmar: The Dangers of a Rohingya Insurgency,https://www.crisisgroup.org/brf/asia-pacific/bangladesh/b187-bangladeshs-new-government-gets-down-business; https://www.crisisgroup.org/asia/south-east-asia/myanmar-bangladesh/348-bangladeshmyanmar-dangers-rohingya-insurgency,2026; 2025,2025
Cameroon,"Women are suffering in Cameroon’s war, but they also hold the key to peace ; Rebels, Victims, Peacebuilders: Women in Cameroon’s Anglophone Conflict",https://www.crisisgroup.org/africa/central-africa/cameroon/women-are-suffering-cameroons-war-they-also-hold-key-peace ; https://www.crisisgroup.org/africa/central-africa/cameroon/rebels-victims-peacebuilders-women-cameroons-anglophone-conflict,2022 ; 2022,2022
Central African Republic,"Violence et transhumance en Centrafrique : le temps d’agir ; Centrafrique : les Zandé tiraillés entre armée, milice et troupes russes",https://www.crisisgroup.org/fr/africa/central-africa/central-african-republic-chad/317-violence-et-transhumance-en-centrafrique-le-temps-dagir ; https://www.crisisgroup.org/fr/africa/central-african-republic/319-centrafrique-les-zande-tirailles-entre-armee-milice-et-troupes-russes,2025 ; 2025,2025
Chad,The Fallout in Chad from the Fighting in Darfur,https://www.crisisgroup.org/africa/central-africa/chad/fallout-chad-fighting-darfur,2023,2023
Colombia,Kids on the Front Lines: Stopping Child Recruitment in Colombia ; Exploiting Prejudice: LGBTQI+ People and Armed Groups in Colombia ; Protecting Colombia’s Most Vulnerable on the Road to “Total Peace” ; Bottleneck of the Americas: Crime and Migration in the Darién Gap ; Hard Times in a Safe Haven: Protecting Venezuelan Migrants in Colombia,https://www.crisisgroup.org/brf/latin-america-caribbean/colombia/b55-kids-front-lines-stopping-child-recruitment-colombia ; https://www.crisisgroup.org/brf/latin-america-caribbean/colombia/b54-exploiting-prejudice-lgbtqi-people-and-armed-groups-colombia ; https://www.crisisgroup.org/latin-america-caribbean/andes/colombia/98-protecting-colombias-most-vulnerable-road-total-peace ; https://www.crisisgroup.org/latin-america-caribbean/andes/colombia-central-america/102-bottleneck-americas-crime-and-migration ; https://www.crisisgroup.org/latin-america-caribbean/andes/colombia-venezuela/hard-times-safe-haven-protecting-venezuelan,2026 ; 2025 ; 2023 ; 2023 ; 2022,2022
Dem. Rep. Congo,"Rape as a Weapon of War in Congo ; Beyond Victimhood: Women’s Peacebuilding in Sudan, Congo and Uganda",https://www.crisisgroup.org/africa/central-africa/democratic-republic-congo/rape-weapon-war-congo ; https://www.crisisgroup.org/africa/horn-africa/sudan/beyond-victimhood-womens-peacebuilding-sudan-congo-and-uganda,2009 ; 2006,2006
Ecuador,Ecuador’s High Tide of Drug Violence,https://www.crisisgroup.org/latin-america-caribbean/andes/ecuador/ecuadors-high-tide-drug-violence,2022,2022
El Salvador,A Remedy for El Salvador’s Prison Fever ; Women in El Salvador’s Gang War ; Mafia of the Poor: Gang Violence and Extortion in Central America ; Easy Prey: Criminal Violence and Central American Migration,https://www.crisisgroup.org/latin-america-caribbean/central-america/el-salvador/96-remedy-el-salvadors-prison-fever ; https://facesofconflict.crisisgroup.org/women-in-el-salvadors-gang-war/ ; https://www.crisisgroup.org/latin-america-caribbean/central-america/62-mafia-poor-gang-violence-and-extortion-central-america ; https://www.crisisgroup.org/latin-america-caribbean/central-america/easy-prey-criminal-violence-and-central-american-migration,2022 ; 2022 ; 2017 ; 2016,2016
